mem,nic,pr
0.171428571,0.082142857,0.165625
0.169642857,0.071428571,0.16875
0.183928571,0.132142857,0.128125
0.185714286,0.077678571,0.20625
0.151785714,0.070535714,0.20625
0.178571429,0.108035714,0.284375
0.167857143,0.064285714,0.2
0.1875,0.099107143,0.2875
0.164285714,0.06875,0.20625
0.1625,0.10625,0.159375
0.117857143,0.103571429,0.15625
0.157142857,0.107142857,0.196875
0.180357143,0.083928571,0.103125
0.155357143,0.116071429,0.090625
0.183928571,0.075892857,0.19375
0.185714286,0.107142857,0.15625
0.15,0.110714286,0.184375
0.194642857,0.124107143,0.084375
0.191071429,0.072321429,0.11875
0.225,0.084821429,0.146875
0.305357143,0.085714286,0.13125
0.210714286,0.117857143,0.15
0.153571429,0.10625,0.121875
0.198214286,0.0875,0.145
0.292857143,0.1125,0.16875
0.3,0.124107143,0.2
0.325,0.080357143,0.171875
0.232142857,0.123214286,0.15625
0.144642857,0.133928571,0.159375
0.169642857,0.089285714,0.153125
0.223214286,0.107142857,0.26875
0.155357143,0.134821429,0.121875
0.178571429,0.085714286,0.1375
0.239285714,0.102678571,0.2
0.157142857,0.148214286,0.1375
0.157142857,0.095535714,0.225
0.219642857,0.08125,0.2125
0.248214286,0.139285714,0.2625
0.314285714,0.110714286,0.24375
0.225,0.097321429,0.259375
0.192857143,0.13125,0.165625
0.266071429,0.102678571,0.15
0.316071429,0.085714286,0.265625
0.294642857,0.116964286,0.184375
0.246428571,0.101785714,0.1875
0.257142857,0.124107143,0.1625
0.258928571,0.109821429,0.1625
0.15,0.091071429,0.2125
0.141071429,0.126785714,0.18
0.214285714,0.10625,0.15
0.221428571,0.105357143,0.13125
0.235714286,0.090178571,0.2
0.235714286,0.083035714,0.15
0.275,0.082142857,0.115625
0.275,0.0875,0.15625
0.2375,0.105357143,0.134375
0.216071429,0.102678571,0.18125
0.2375,0.15625,0.215625
0.166071429,0.116071429,0.203125
0.175,0.126785714,0.2875
0.228571429,0.075892857,0.215625
0.157142857,0.069642857,0.1625
0.1625,0.115178571,0.1875
0.198214286,0.097321429,0.171875
0.246428571,0.102678571,0.103125
0.271428571,0.113392857,0.175
0.182142857,0.072321429,0.178125
0.130357143,0.116964286,0.2
0.164285714,0.094642857,0.146875
0.230357143,0.116071429,0.23125
0.233928571,0.1125,0.2625
0.246428571,0.091071429,0.18125
0.239285714,0.084821429,0.15625
0.183928571,0.092857143,0.148
0.196428571,0.125892857,0.140625
0.207142857,0.108928571,0.121875
0.198214286,0.085714286,0.175
0.1875,0.109821429,0.1875
0.201785714,0.079464286,0.14375
0.283928571,0.080357143,0.16875
0.158928571,0.104464286,0.115625
0.1625,0.133035714,0.209375
0.235714286,0.088392857,0.2375
0.296428571,0.120535714,0.215625
0.301785714,0.08125,0.240625
0.2875,0.096428571,0.09375
0.271428571,0.071428571,0.196875
0.244642857,0.084821429,0.2125
0.242857143,0.108928571,0.225
0.275,0.103571429,0.16875
0.2125,0.107142857,0.4
0.15,0.098214286,0.371875
0.153571429,0.116964286,0.309375
0.266071429,0.126785714,0.146875
0.198214286,0.111607143,0.309375
0.198214286,0.094642857,0.35625
0.246428571,0.114285714,0.146875
0.3125,0.11875,0.13125
0.305357143,0.094642857,0.2
0.296428571,0.127678571,0.25625
0.292857143,0.091071429,0.14375
0.2875,0.102678571,0.21875
0.264285714,0.120535714,0.203125
0.271428571,0.105357143,0.240625
0.278571429,0.092857143,0.2375
0.280357143,0.091071429,0.20625
0.289285714,0.111607143,0.184375
0.301785714,0.103571429,0.165625
0.296428571,0.1,0.184375
0.296428571,0.109821429,0.25
0.294642857,0.124107143,0.2625
0.3,0.107142857,0.275
0.289285714,0.0875,0.246875
0.278571429,0.097321429,0.221875
0.280357143,0.098214286,0.253125
0.3,0.097321429,0.28125
0.303571429,0.089285714,0.165625
0.283928571,0.097321429,0.240625
0.2875,0.10625,0.203125
0.292857143,0.089285714,0.215625
0.282142857,0.1,0.19375
0.2375,0.099107143,0.15
0.241071429,0.0875,0.165625
0.255357143,0.083928571,0.228125
0.294642857,0.100892857,0.2125
0.301785714,0.103571429,0.175
0.289285714,0.099107143,0.140625
0.278571429,0.089285714,0.23125
0.282142857,0.110714286,0.375
0.2875,0.108035714,0.25625
0.280357143,0.077678571,0.178125
0.289285714,0.1125,0.403125
0.208928571,0.107142857,0.390625
0.214285714,0.113392857,0.209375
0.298214286,0.116964286,0.33125
0.275,0.096428571,0.29375
0.2,0.103571429,0.11875
0.198214286,0.124107143,0.25625
0.221428571,0.079464286,0.4
0.301785714,0.082142857,0.434375
0.314285714,0.095535714,0.25
